Dim.1
quanti
   ;correlation;p.value;
AGEPR=AGEPR_69;-0.0934;0.005;
QNIVIE2=QNIVIE2_2;-0.0093;0.0042;
CONFORT.MOY=CONFORT.MOY_1;-0.5478;2e-04;
stalog4=stalog4_2;-0.0392;0;
Stalog=Stalog_2;-0.1188;0;
AGEPR=AGEPR_78;-0.1353;0;
AGEPR=AGEPR_54;-0.1214;0;
CS42PR=CS42PR_71;-0.0273;0;
CATAEU=CATAEU_120;-0.0976;0;
QNIVIE2=QNIVIE2_3;-0.0065;0;
Surfhab=Surfhab_260;-0.0634;0;
Ancons=Ancons_5;-0.0658;0;
TAU=TAU_4;-0.0811;0;
AGEPR=AGEPR_79;-0.0746;0;
CSP8PR=CSP8PR_4;-0.0197;0;
Surfhab=Surfhab_22;-0.1058;0;
Surfhab=Surfhab_135;-0.0866;0;
Ancons=Ancons_9;-0.0656;0;
Surfhab=Surfhab_166;-0.1724;0;
CONFORT8=CONFORT8_0;-0.0596;0;
CONFORT2=CONFORT2_1;-0.0155;0;
AGEPR=AGEPR_76;-0.147;0;
TAU=TAU_6;-0.1086;0;
CS42PR=CS42PR_77;-0.0131;0;
AGEPR=AGEPR_73;-0.0606;0;
AGEPR=AGEPR_49;-0.1395;0;
AGEPR=AGEPR_72;-0.1469;0;
AGEPR=AGEPR_66;-0.1431;0;
Surfhab=Surfhab_103;-0.1081;0;
Surfhab=Surfhab_165;-0.1423;0;
Surfhab=Surfhab_112;-0.1897;0;
Surfhab=Surfhab_57;-0.0585;0;
Surfhab=Surfhab_55;-0.029;0;
Stalog=Stalog_6;-0.0807;0;
AGEPR=AGEPR_83;-0.0387;0;
TAU=TAU_7;-0.119;0;
AGEPR=AGEPR_85;-0.0071;0;
AGEPR=AGEPR_90;-0.212;0;
Niveau=Niveau_1;-0.016;0;
Surfhab=Surfhab_143;-0.2459;0;
Aise=Aise_8;-0.1672;0;
Chomageb=Chomageb_9;-0.0482;0;
Surfhab=Surfhab_52;-0.0578;0;
Surfhab=Surfhab_96;-0.0826;0;
CS42PR=CS42PR_37;-0.0337;0;
AGEPR=AGEPR_88;-0.2954;0;
AGEPR=AGEPR_67;-0.1613;0;
Surfhab=Surfhab_156;-0.2775;0;
AGEPR=AGEPR_59;-0.171;0;
Surfhab=Surfhab_41;-0.1488;0;
Surfhab=Surfhab_98;-0.1124;0;
AGEPR=AGEPR_75;-0.0106;0;
AGEPR=AGEPR_26;-0.0173;0;
Ancons=Ancons_2;-0.1112;0;
AGEPR=AGEPR_70;-0.1841;0;
Surfhab=Surfhab_81;-0.3359;0;
AGEPR=AGEPR_52;-0.1684;0;
CSP8PR=CSP8PR_0;-0.4586;0;
CS42PR=CS42PR_0;-0.4421;0;
CSP8PR=CSP8PR_7;-0.0273;0;
Surfhab=Surfhab_132;-0.3175;0;
Surfhab=Surfhab_16;-0.2958;0;
Surfhab=Surfhab_102;-0.4646;0;
AGEPR=AGEPR_81;-0.2031;0;
Espoira=Espoira_99;-0.0178;0;
CS42PR=CS42PR_74;-0.0384;0;
Ancons=Ancons_99;-0.1054;0;
Surfhab=Surfhab_93;-0.3409;0;
Surfhab=Surfhab_196;-0.667;0;
NACTIFS=NACTIFS_3;-0.1785;0;
Surfhab=Surfhab_390;-0.5011;0;
AGEPR=AGEPR_51;-0.1768;0;
Ancons=Ancons_7;-0.1143;0;
Surfhab=Surfhab_185;-0.2599;0;
Varia=Varia_8;-0.0317;0;
Surfhab=Surfhab_86;-0.1857;0;
TYPLOG=TYPLOG_6;-0.44;0;
CONFORT4=CONFORT4_0;-0.0436;0;
TYPLOG=TYPLOG_2;-0.1578;0;
Ancons=Ancons_4;-0.1088;0;
Surfhab=Surfhab_68;-0.0908;0;
Surfhab=Surfhab_88;-0.1787;0;
CONFORT.MOY=CONFORT.MOY_2;-0.0906;0;
Surfhab=Surfhab_164;-0.4424;0;
CS42PR=CS42PR_35;-0.1666;0;
NCOUPLES=NCOUPLES_2;-0.1812;0;
AGEPR=AGEPR_71;-0.2248;0;
Surfhab=Surfhab_153;-0.4051;0;
Surfhab=Surfhab_61;-0.3305;0;
NACTIFS=NACTIFS_2;-0.144;0;
Surfhab=Surfhab_136;-0.2967;0;
Surfhab=Surfhab_155;-0.5557;0;
Varia=Varia_9;-0.0366;0;
AGEPR=AGEPR_40;-0.0011;0;
Surfhab=Surfhab_42;-0.2999;0;
TAU=TAU_0;-0.0603;0;
Surfhab=Surfhab_109;-0.326;0;
Surfhab=Surfhab_28;-0.4042;0;
NPERS=NPERS_3;-0.4431;0;
Surfhab=Surfhab_159;-0.5256;0;
CATAEU=CATAEU_112;-0.0518;0;
AGEPR=AGEPR_77;-0.229;0;
Surfhab=Surfhab_220;-0.2501;0;
AGEPR=AGEPR_34;-0.2396;0;
Surfhab=Surfhab_83;-0.2197;0;
AGEPR=AGEPR_65;-0.2101;0;
AGEPR=AGEPR_43;-0.0043;0;
NENFACT=NENFACT_1;-0.0527;0;
Surfhab=Surfhab_600;-0.4361;0;
Surfhab=Surfhab_46;-0.2;0;
NENFACT=NENFACT_3;-0.3962;0;
CONFORT.MOY=CONFORT.MOY_7;-0.6078;0;
Surfhab=Surfhab_340;-0.6776;0;
Surfhab=Surfhab_104;-0.2649;0;
Surfhab=Surfhab_77;-0.6377;0;
DNIVIE2=DNIVIE2_4;-0.0659;0;
Surfhab=Surfhab_66;-0.286;0;
Surfhab=Surfhab_36;-0.4108;0;
Surfhab=Surfhab_27;-0.4155;0;
Surfhab=Surfhab_99;-0.2022;0;
AGEPR=AGEPR_61;-0.2217;0;
Surfhab=Surfhab_44;-0.3937;0;
CONFORT7=CONFORT7_1;-0.0347;0;
TUU=TUU_1;-0.0441;0;
Patrib=Patrib_7;-0.016;0;
CATAEU=CATAEU_111;-0.0967;0;
Surfhab=Surfhab_91;-0.4541;0;
Surfhab=Surfhab_101;-0.3146;0;
Existrs=Existrs_2;-0.0329;0;
Surfhab=Surfhab_39;-0.2622;0;
Nbphab=Nbphab_19;-0.6929;0;
Surfhab=Surfhab_25;-0.5443;0;
AGEPR=AGEPR_63;-0.2316;0;
Surfhab=Surfhab_87;-0.177;0;
CS42PR=CS42PR_13;-0.2099;0;
Surfhab=Surfhab_64;-0.1823;0;
Surfhab=Surfhab_70;-0.0906;0;
TUU=TUU_2;-0.0544;0;
CS42PR=CS42PR_22;-0.1317;0;
Surfhab=Surfhab_108;-0.4564;0;
Surfhab=Surfhab_35;-0.2241;0;
Espoira=Espoira_5;-0.0202;0;
Surfhab=Surfhab_307;-0.8177;0;
AGEPR=AGEPR_21;-0.3705;0;
Niveau=Niveau_101;-0.7717;0;
Espoirb=Espoirb_101;-0.8026;0;
Espoirb=Espoirb_12;-0.0927;0;
Espoirb=Espoirb_10;-0.0997;0;
Espoirb=Espoirb_9;-0.0342;0;
Espoirb=Espoirb_6;-0.1404;0;
Espoira=Espoira_101;-0.7754;0;
Espoira=Espoira_12;-0.1188;0;
Espoira=Espoira_10;-0.0799;0;
Espoira=Espoira_6;-0.2068;0;
Contfin=Contfin_101;-0.7037;0;
Aise=Aise_101;-0.7431;0;
Chomagec=Chomagec_101;-0.6259;0;
Chomagec=Chomagec_5;-0.1989;0;
Chomageb=Chomageb_101;-0.7142;0;
Chomageb=Chomageb_5;-0.1639;0;
Chomagea=Chomagea_101;-0.6244;0;
Chomagea=Chomagea_4;-0.2755;0;
Varif=Varif_101;-0.7096;0;
Varif=Varif_5;-0.0341;0;
Varic=Varic_101;-0.6889;0;
Varic=Varic_1;-0.1845;0;
Varib=Varib_101;-0.8416;0;
Varib=Varib_4;-0.0459;0;
Varib=Varib_1;-0.5383;0;
Varia=Varia_101;-0.5486;0;
Patrib=Patrib_101;-0.7805;0;
Patrib=Patrib_98;-0.1249;0;
Patrib=Patrib_9;-0.0298;0;
Patrib=Patrib_6;-0.1373;0;
Patrib=Patrib_4;-0.3304;0;
Patrib=Patrib_3;-0.0918;0;
Patrib=Patrib_2;-0.1175;0;
vehic=vehic_1;-0.1566;0;
stalog4=stalog4_3;-0.1586;0;
Stalog=Stalog_4;-0.2437;0;
CONFORT.MOY=CONFORT.MOY_6;-0.5942;0;
CONFORT.MOY=CONFORT.MOY_5;-0.5006;0;
CONFORT.MOY=CONFORT.MOY_4;-0.1095;0;
CONFORT.MOY=CONFORT.MOY_0;-1.0915;0;
CONFORT6=CONFORT6_1;-0.0456;0;
CONFORT5=CONFORT5_1;-0.1111;0;
CONFORT3=CONFORT3_0;-0.0938;0;
CONFORT1=CONFORT1_1;-0.2955;0;
Ancons=Ancons_101;-0.9138;0;
Ancons=Ancons_6;-0.1878;0;
Ancons=Ancons_3;-0.1782;0;
Ancons=Ancons_1;-0.0134;0;
Htl=Htl_9;-0.5992;0;
Htl=Htl_8;-0.0377;0;
Surfhab=Surfhab_119;-0.589;0;
Surfhab=Surfhab_106;-0.2751;0;
Surfhab=Surfhab_90;-0.1009;0;
Surfhab=Surfhab_85;-0.1969;0;
Surfhab=Surfhab_84;-0.3668;0;
Surfhab=Surfhab_80;-0.1396;0;
Surfhab=Surfhab_76;-0.6423;0;
Surfhab=Surfhab_74;-0.3187;0;
Surfhab=Surfhab_73;-0.43;0;
Surfhab=Surfhab_72;-0.2119;0;
Surfhab=Surfhab_71;-0.5069;0;
Surfhab=Surfhab_69;-0.5426;0;
Surfhab=Surfhab_67;-0.3811;0;
Surfhab=Surfhab_65;-0.2683;0;
Surfhab=Surfhab_63;-0.3355;0;
Surfhab=Surfhab_60;-0.3311;0;
Surfhab=Surfhab_58;-0.471;0;
Surfhab=Surfhab_56;-0.7617;0;
Surfhab=Surfhab_53;-0.6443;0;
Surfhab=Surfhab_51;-0.5455;0;
Surfhab=Surfhab_48;-0.5256;0;
Surfhab=Surfhab_47;-0.6874;0;
Surfhab=Surfhab_45;-0.3131;0;
Surfhab=Surfhab_43;-0.9098;0;
Surfhab=Surfhab_38;-0.5098;0;
Surfhab=Surfhab_37;-0.8346;0;
Surfhab=Surfhab_33;-0.3781;0;
Surfhab=Surfhab_31;-0.6869;0;
Surfhab=Surfhab_30;-0.61;0;
Nbphab=Nbphab_99;-0.7919;0;
Nbphab=Nbphab_3;-0.1104;0;
Nbphab=Nbphab_2;-0.199;0;
Nbrs=Nbrs_9;-0.7172;0;
TAU=TAU_9;-0.0501;0;
TAU=TAU_8;-0.1708;0;
TAU=TAU_1;-0.1902;0;
CATAEU=CATAEU_400;-8e-04;0;
CATAEU=CATAEU_221;-0.1966;0;
TUU=TUU_6;-0.1667;0;
TYPLOG=TYPLOG_5;-0.398;0;
TYPLOG=TYPLOG_4;-0.2758;0;
TYPLOG=TYPLOG_1;-0.0328;0;
TYPVOIS=TYPVOIS_4;-0.2527;0;
TYPVOIS=TYPVOIS_3;-0.1719;0;
CSP8PR=CSP8PR_6;-0.2688;0;
CSP8PR=CSP8PR_5;-0.1618;0;
CSP8PR=CSP8PR_1;-0.2133;0;
CS42PR=CS42PR_75;-0.0992;0;
CS42PR=CS42PR_69;-0.4992;0;
CS42PR=CS42PR_67;-0.3103;0;
CS42PR=CS42PR_65;-0.2223;0;
CS42PR=CS42PR_64;-0.2931;0;
CS42PR=CS42PR_63;-0.3184;0;
CS42PR=CS42PR_62;-0.2522;0;
CS42PR=CS42PR_56;-0.2202;0;
CS42PR=CS42PR_55;-0.2987;0;
CS42PR=CS42PR_53;-0.2031;0;
CS42PR=CS42PR_52;-0.1633;0;
CS42PR=CS42PR_46;-0.1405;0;
CS42PR=CS42PR_45;-0.3597;0;
CS42PR=CS42PR_42;-0.2375;0;
CS42PR=CS42PR_11;-0.5532;0;
AGEPR=AGEPR_64;-0.3182;0;
AGEPR=AGEPR_62;-0.2803;0;
AGEPR=AGEPR_60;-0.3008;0;
AGEPR=AGEPR_58;-0.531;0;
AGEPR=AGEPR_57;-0.2877;0;
AGEPR=AGEPR_56;-0.2859;0;
AGEPR=AGEPR_55;-0.415;0;
AGEPR=AGEPR_53;-0.2987;0;
AGEPR=AGEPR_50;-0.3272;0;
AGEPR=AGEPR_48;-0.2652;0;
AGEPR=AGEPR_37;-0.322;0;
AGEPR=AGEPR_35;-0.2844;0;
AGEPR=AGEPR_33;-0.4007;0;
AGEPR=AGEPR_32;-0.4793;0;
AGEPR=AGEPR_31;-0.4559;0;
AGEPR=AGEPR_30;-0.4506;0;
AGEPR=AGEPR_29;-0.6024;0;
AGEPR=AGEPR_28;-0.7547;0;
AGEPR=AGEPR_27;-0.3529;0;
AGEPR=AGEPR_25;-0.6883;0;
AGEPR=AGEPR_24;-0.7226;0;
SEXEPR=SEXEPR_1;-0.0358;0;
TYPMEN5=TYPMEN5_3;-0.3715;0;
TYPMEN5=TYPMEN5_1;-0.2096;0;
NACTIFS=NACTIFS_1;-0.2443;0;
NENFANTS=NENFANTS_4;-0.2013;0;
NENFANTS=NENFANTS_2;-0.0019;0;
NENFANTS=NENFANTS_1;-0.7153;0;
NENFANTS=NENFANTS_0;-0.6509;0;
NPERS=NPERS_6;-0.1582;0;
NPERS=NPERS_2;-0.5756;0;
NPERS=NPERS_1;-0.4879;0;
DNIVIE2=DNIVIE2_10;-0.1429;0;
DNIVIE2=DNIVIE2_9;-0.0981;0;
DNIVIE2=DNIVIE2_8;-0.2467;0;
DNIVIE2=DNIVIE2_7;-0.1312;0;
DNIVIE2=DNIVIE2_6;-0.0973;0;
QNIVIE2=QNIVIE2_5;-0.114;0;
QNIVIE2=QNIVIE2_4;-0.1863;0;
decile.uc=decile.uc_10;-0.1242;0;
decile.uc=decile.uc_9;-0.123;0;
decile.uc=decile.uc_8;-0.2048;0;
decile.uc=decile.uc_7;-0.1689;0;
decile.uc=decile.uc_6;-0.1391;0;
decile.uc=decile.uc_4;-0.0777;0;
DECTYPO_2010=DECTYPO_2010_D0_9;-0.123;0;
DECTYPO_2010=DECTYPO_2010_D0_8;-0.2048;0;
DECTYPO_2010=DECTYPO_2010_D0_7;-0.1689;0;
DECTYPO_2010=DECTYPO_2010_D0_6;-0.1391;0;
DECTYPO_2010=DECTYPO_2010_D0_4;-0.0777;0;
DECTYPO_2010=DECTYPO_2010_D_10;-0.1242;0;
DECTYPO_2017=DECTYPO_2017_D0_9;-0.123;0;
DECTYPO_2017=DECTYPO_2017_D0_8;-0.2048;0;
DECTYPO_2017=DECTYPO_2017_D0_7;-0.1689;0;
DECTYPO_2017=DECTYPO_2017_D0_6;-0.1391;0;
DECTYPO_2017=DECTYPO_2017_D0_4;-0.0777;0;
DECTYPO_2017=DECTYPO_2017_D_10;-0.1242;0;
typo2010.acp.2017=typo2010.acp.2017_1;-0.218;0;
typo.2.4.2017=typo.2.4.2017_1;-0.31;0;
pauvrete.60=pauvrete.60_0;-0.2442;0;
pauvreté.50=pauvreté.50_0;-0.3745;0;

Dim.5
quanti
   ;correlation;p.value;
w.revpat;0.6971;0;
Axe.4;0.6564;0;
REVPAT;0.5597;0;
w.revaide;0.5021;0;
revaide;0.4241;0;
REV701;0.3848;0;
REV700;0.1763;0;
C10;0.1683;0;
enerdom;0.167;0;
deptot;0.1516;0;
C05;0.1297;0;
w.enerdom;0.1237;0;
C11;0.1179;0;
C07;0.1113;0;
enerdir;0.106;0;
w.cantines;0.0985;0;
C09;0.093;0;
ctot113;0.0928;0;
w.depenerpreng;0.085;0;
REVEXC;0.0833;0;
C06;0.0765;0;
C12;0.0664;0;
TAXHAB_M;0.0625;0;
C03;0.061;0;
cantines;0.0583;0;
revtotuc;0.055;0;
NIVIE;0.0545;0;
redispuc;0.0545;0;
REVTOT;0.0506;0;
revtotlibuc;0.0501;0;
REVDISP;0.0489;0;
revlibdispuc;0.0484;0;
revtotlib;0.0466;0;
Axe.3;0.0458;0;
revlibdisp;0.0442;0;
IMPOTREV_M;0.0421;0;
assurances;0.0403;0;
w.enerdomtot;0.0377;0;
depreng;0.0368;0;
carburant;0.0337;0;
Axe.2;0.0318;0;
C13;0.03;0;
C08;0.0277;0;
commo;0.0277;0;
REVINDEP;0.0206;0;
C01;0.0204;0;
deplogtot;0.0196;0;
C04;0.0196;0;
REV702;0.0164;0;
Rmini;0.016;0;
REVACT.1;0.0117;0;
REVACT;0.0117;0;
C02;0.0102;0;
COEFFUC;0.0084;0;
w.deplogpreng;0.0067;0;
w.logtot;0.0067;0;
Rmini_I;0.0058;0;
SALAIRES;0.0056;0;
w.enerdir;0.0026;0;
w.enerdircontr;-0.003;0;
w.commo;-0.0126;0;
w.assurances;-0.0151;0;
Axe.1;-0.017;0;
log.non.ener;-0.0235;0;
w.carbu;-0.0321;0;
w.revact;-0.0321;0;
PREST_FAM_TOT;-0.0442;0;
C14;-0.0447;0;
w.log.non.ener;-0.0536;0;
pondmen;-0.0644;0;
RETRAITES;-0.0645;0;
pondmen.cs24_84;-0.0713;0;
pondmen.cs24.NPERS_84;-0.075;0;
CHOMAGE;-0.0941;0;
w.depreng;-0.1124;0;
REVSOC;-0.1129;0;
television;-0.1504;0;
w.television;-0.1913;0;
w.revsoc;-0.21;0;
revdiv;-0.3041;0;
w.revdiv;-0.4038;0;
Axe.5;-0.623;0;

quali
   ;R2;p.value;
pauvreté.50;0.012;0;
pauvrete.60;0.0075;0;
typo.2.4.2017;0.009;0;
typo2010.acp.2017;0.0239;0;
DECTYPO_2017;0.0273;0;
DECTYPO_2010;0.0273;0;
decile.uc;0.0273;0;
QNIVIE2;0.0136;0;
DNIVIE2;0.0266;0;
NPERS;0.0016;0;
NCOUPLES;5e-04;0;
NENFANTS;0.0021;0;
NACTIFS;0.0047;0;
NENFACT;0.0018;0;
TYPMEN5;0.0034;0;
SEXEPR;4e-04;0;
AGEPR;0.1164;0;
CS42PR;0.1567;0;
CSP8PR;0.0392;0;
TYPVOIS;0.0181;0;
TYPLOG;0.0085;0;
TUU;0.0152;0;
CATAEU;0.0073;0;
TAU;0.0094;0;
Existrs;0.0049;0;
Nbrs;0.0406;0;
Nbphab;0.022;0;
Surfhab;0.1956;0;
Htl;0.0084;0;
Ancons;0.0246;0;
CONFORT2;6e-04;0;
CONFORT3;0.001;0;
CONFORT4;0.0011;0;
CONFORT5;0.001;0;
CONFORT6;0.0012;0;
CONFORT7;0.0016;0;
CONFORT.MOY;0.0277;0;
Stalog;0.013;0;
stalog4;0.0079;0;
vehic;9e-04;0;
Patrib;0.0484;0;
Varia;0.0015;0;
Varib;0.0245;0;
Varic;0.0074;0;
Varif;0.0068;0;
Chomagea;0.0025;0;
Chomageb;0.0025;0;
Chomagec;0.0018;0;
Aise;0.0415;0;
Contfin;0.0045;0;
Espoira;0.0079;0;
Espoirb;0.0068;0;
Niveau;0.0374;0;
CONFORT1;2e-04;0;
CONFORT8;1e-04;0;

category
   ;Estimate;p.value;
Niveau=Niveau_4;0.0313;0;
Niveau=Niveau_3;0.2109;0;
Niveau=Niveau_2;0.6232;0;
Espoirb=Espoirb_8;0.3058;0;
Espoirb=Espoirb_7;0.0873;0;
Espoira=Espoira_9;0.2368;0;
Contfin=Contfin_3;0.2742;0;
Contfin=Contfin_1;0.4098;0;
Aise=Aise_3;0.0253;0;
Aise=Aise_2;0.2351;0;
Aise=Aise_1;0.5785;0;
Chomagec=Chomagec_2;0.2685;0;
Chomageb=Chomageb_2;0.1885;0;
Chomagea=Chomagea_99;0.0947;0;
Chomagea=Chomagea_3;0.2234;0;
Varif=Varif_4;0.0553;0;
Varif=Varif_2;0.249;0;
Varif=Varif_1;0.1967;0;
Varic=Varic_6;0.3136;0;
Varic=Varic_2;0.2053;0;
Varib=Varib_6;1.8827;0;
Patrib=Patrib_15;1.1503;0;
Patrib=Patrib_14;0.3085;0;
Patrib=Patrib_12;0.2634;0;
Patrib=Patrib_11;0.1338;0;
vehic=vehic_2;0.044;0;
stalog4=stalog4_2;0.0803;0;
stalog4=stalog4_1;0.0696;0;
Stalog=Stalog_5;0.7339;0;
Stalog=Stalog_3;0.0545;0;
CONFORT.MOY=CONFORT.MOY_3;4.4753;0;
CONFORT7=CONFORT7_1;0.0815;0;
CONFORT6=CONFORT6_1;0.0356;0;
CONFORT5=CONFORT5_0;0.0473;0;
CONFORT4=CONFORT4_1;0.1266;0;
CONFORT3=CONFORT3_1;0.1331;0;
CONFORT2=CONFORT2_1;0.0934;0;
Ancons=Ancons_10;1.7156;0;
Ancons=Ancons_7;0.1876;0;
Ancons=Ancons_1;0.0714;0;
Htl=Htl_2;0.1234;0;
Htl=Htl_1;0.2512;0;
Surfhab=Surfhab_390;4.7123;0;
Surfhab=Surfhab_340;1.2103;0;
Surfhab=Surfhab_307;7.3102;0;
Surfhab=Surfhab_234;1.649;0;
Surfhab=Surfhab_190;0.4387;0;
Surfhab=Surfhab_180;0.0714;0;
Surfhab=Surfhab_160;0.2077;0;
Surfhab=Surfhab_156;3.6659;0;
Surfhab=Surfhab_150;0.009;0;
Surfhab=Surfhab_143;2.2359;0;
Surfhab=Surfhab_140;0.0785;0;
Surfhab=Surfhab_136;0.3357;0;
Surfhab=Surfhab_130;0.195;0;
Surfhab=Surfhab_125;0.1209;0;
Surfhab=Surfhab_92;0.2358;0;
Surfhab=Surfhab_68;0.5548;0;
Surfhab=Surfhab_59;1.9041;0;
Surfhab=Surfhab_55;0.3335;0;
Surfhab=Surfhab_49;0.5726;0;
Surfhab=Surfhab_40;0.1678;0;
Surfhab=Surfhab_34;0.9064;0;
Surfhab=Surfhab_21;2.8093;0;
Surfhab=Surfhab_19;4.1961;0;
Surfhab=Surfhab_18;1.4899;0;
Nbphab=Nbphab_19;0.8699;0;
Nbphab=Nbphab_9;0.7697;0;
Nbphab=Nbphab_8;0.4741;0;
Nbrs=Nbrs_3;1.8416;0;
Nbrs=Nbrs_2;0.5278;0;
Existrs=Existrs_1;0.1298;0;
TAU=TAU_1;0.1982;0;
TAU=TAU_0;0.0303;0;
CATAEU=CATAEU_300;0.1664;0;
CATAEU=CATAEU_221;0.2584;0;
TUU=TUU_2;0.2789;0;
TUU=TUU_0;0.1664;0;
TYPLOG=TYPLOG_7;0.6684;0;
TYPLOG=TYPLOG_1;0.0346;0;
TYPVOIS=TYPVOIS_3;0.0862;0;
TYPVOIS=TYPVOIS_1;0.1756;0;
CSP8PR=CSP8PR_8;0.6554;0;
CSP8PR=CSP8PR_3;0.2828;0;
CSP8PR=CSP8PR_2;0.2891;0;
CS42PR=CS42PR_84;2.705;0;
CS42PR=CS42PR_74;0.047;0;
CS42PR=CS42PR_72;0.2868;0;
CS42PR=CS42PR_71;0.6709;0;
CS42PR=CS42PR_54;0.1419;0;
CS42PR=CS42PR_37;0.2722;0;
CS42PR=CS42PR_34;0.2933;0;
CS42PR=CS42PR_31;0.805;0;
CS42PR=CS42PR_22;0.2946;0;
CS42PR=CS42PR_21;0.2101;0;
AGEPR=AGEPR_91;1.601;0;
AGEPR=AGEPR_86;0.329;0;
AGEPR=AGEPR_68;0.4606;0;
AGEPR=AGEPR_64;0.1039;0;
AGEPR=AGEPR_60;0.1457;0;
AGEPR=AGEPR_54;0.1074;0;
AGEPR=AGEPR_46;0.2604;0;
AGEPR=AGEPR_40;0.4237;0;
AGEPR=AGEPR_27;0.1058;0;
AGEPR=AGEPR_26;0.3687;0;
AGEPR=AGEPR_23;0.7468;0;
AGEPR=AGEPR_20;1.8171;0;
AGEPR=AGEPR_19;1.2157;0;
AGEPR=AGEPR_18;2.2053;0;
AGEPR=AGEPR_17;3.2539;0;
SEXEPR=SEXEPR_1;0.0209;0;
TYPMEN5=TYPMEN5_5;0.3153;0;
NENFACT=NENFACT_1;0.1918;0;
NACTIFS=NACTIFS_3;0.2616;0;
NACTIFS=NACTIFS_1;0.0426;0;
NENFANTS=NENFANTS_2;0.1161;0;
NPERS=NPERS_4;0.1134;0;
DNIVIE2=DNIVIE2_10;0.2848;0;
DNIVIE2=DNIVIE2_6;0.0762;0;
DNIVIE2=DNIVIE2_1;0.3104;0;
QNIVIE2=QNIVIE2_5;0.1677;0;
QNIVIE2=QNIVIE2_1;0.1047;0;
decile.uc=decile.uc_10;0.2872;0;
decile.uc=decile.uc_9;0.1037;0;
decile.uc=decile.uc_6;0.0521;0;
decile.uc=decile.uc_1;0.3106;0;
DECTYPO_2010=DECTYPO_2010_D0_9;0.1037;0;
DECTYPO_2010=DECTYPO_2010_D0_6;0.0521;0;
DECTYPO_2010=DECTYPO_2010_D0_1;0.3106;0;
DECTYPO_2010=DECTYPO_2010_D_10;0.2872;0;
DECTYPO_2017=DECTYPO_2017_D0_9;0.1037;0;
DECTYPO_2017=DECTYPO_2017_D0_6;0.0521;0;
DECTYPO_2017=DECTYPO_2017_D0_1;0.3106;0;
DECTYPO_2017=DECTYPO_2017_D_10;0.2872;0;
typo2010.acp.2017=typo2010.acp.2017_4;0.1268;0;
typo2010.acp.2017=typo2010.acp.2017_3;0.081;0;
typo2010.acp.2017=typo2010.acp.2017_1;0.1256;0;
typo.2.4.2017=typo.2.4.2017_4;0.1022;0;
typo.2.4.2017=typo.2.4.2017_3;0.0575;0;
pauvrete.60=pauvrete.60_1;0.1289;0;
pauvreté.50=pauvreté.50_1;0.2198;0;
DNIVIE2=DNIVIE2_9;0.0506;0;
Patrib=Patrib_13;0.0993;0;
Surfhab=Surfhab_600;0.3891;0;
Surfhab=Surfhab_44;0.3031;0;
Espoirb=Espoirb_99;0.1896;0;
Chomagea=Chomagea_1;0.1505;0;
Espoirb=Espoirb_11;0.0101;0;
NACTIFS=NACTIFS_2;0.1294;0;
Varia=Varia_2;0.2916;0;
AGEPR=AGEPR_22;0.1233;0;
Surfhab=Surfhab_97;0.1932;0;
Surfhab=Surfhab_39;0.1157;0;
NACTIFS=NACTIFS_0;0.1257;0;
Surfhab=Surfhab_220;0.1494;0;
Surfhab=Surfhab_113;0.2786;0;
Chomagea=Chomagea_4;0.0075;0;
Surfhab=Surfhab_74;0.0838;0;
Espoirb=Espoirb_3;0.1048;0;
Surfhab=Surfhab_200;0.007;0;
AGEPR=AGEPR_41;0.0456;0;
Chomageb=Chomageb_1;0.1445;0;
NPERS=NPERS_2;0.0702;0;
AGEPR=AGEPR_56;0.0236;0;
CONFORT1=CONFORT1_0;0.0502;0;
Varia=Varia_1;0.2432;0;
TUU=TUU_7;0.0649;0;
Surfhab=Surfhab_104;0.0881;0;
NENFACT=NENFACT_0;0.0799;0;
CS42PR=CS42PR_48;0.0582;0;
TYPVOIS=TYPVOIS_2;0.0248;0;
NENFANTS=NENFANTS_0;0.0652;0;
AGEPR=AGEPR_81;0.0404;0;
Varic=Varic_4;0.0588;0;
Espoira=Espoira_11;0.0953;0;
CATAEU=CATAEU_400;0.0468;0;
CONFORT8=CONFORT8_0;0.1774;0;
TUU=TUU_4;0.0045;0;
Varif=Varif_9;0.0727;0;
Chomageb=Chomageb_99;0.1006;0;
AGEPR=AGEPR_57;0.0048;0;
CS42PR=CS42PR_12;0.135;0;
Surfhab=Surfhab_98;0.0039;0;
Surfhab=Surfhab_13;0.1645;0;
TAU=TAU_2;0.0804;0;
Espoira=Espoira_3;0.1003;0;
Contfin=Contfin_2;0.3277;0;
Espoira=Espoira_7;0.0875;0;
Surfhab=Surfhab_230;0.1487;0;
Varic=Varic_3;0.0929;0;
NPERS=NPERS_1;0.0358;0;
CS42PR=CS42PR_33;0.0619;0;
TAU=TAU_4;1e-04;0;
Espoira=Espoira_1;0.1068;0;
Espoirb=Espoirb_2;0.0067;0;
Surfhab=Surfhab_127;0.0167;0;
Chomageb=Chomageb_9;0.2839;0;
Surfhab=Surfhab_260;0.0362;0;
Varia=Varia_9;0.4239;0;
Espoira=Espoira_99;0.1251;0;
Varif=Varif_3;0.0975;0;
Surfhab=Surfhab_350;0.0082;0;
Chomagec=Chomagec_1;0.1303;0;
NCOUPLES=NCOUPLES_0;0.1546;0;
Htl=Htl_5;0.3106;0;
